# {"env_id": "CarlaUrbanIntersection8425-v0", "t_start": 1583051686.1227748} 
r,l,t
0.946806,1,72122.066181
140.276528,140,72123.678171
0.941684,1,72124.076094
147.313053,147,72125.755809
0.937994,1,72126.181707
134.244507,134,72127.732626
0.943978,1,72128.143554
155.386102,155,72129.935754
0.931783,1,72130.357885
120.162328,120,72131.730193
0.952544,1,72132.147994
155.40884,155,72149.776042
0.925342,1,72150.169238
118.168155,118,72151.562582
0.951753,1,72151.989305
150.346231,150,72153.720692
0.935806,1,72154.1254
132.237708,132,72155.653131
0.945686,1,72156.078433
161.39922,161,72157.90304
0.930578,1,72158.385435
118.167713,118,72159.796608
0.951192,1,72160.212346
128.22099,128,72161.729176
0.946644,1,72162.16356
133.231975,133,72163.682501
0.946246,1,72164.111691
156.35612,156,72165.855847
0.934768,1,72166.316158
128.194977,128,72167.757298
0.949813,1,72168.184201
167.457521,167,72170.104712
0.924335,1,72170.562091
122.185551,122,72172.000375
0.950089,1,72172.41958
120.167065,120,72173.810102
0.951772,1,72174.283743
140.291283,140,72175.920046
0.940416,1,72176.339588
152.348272,152,72178.086532
0.935173,1,72178.524039
106.160243,106,72195.567301
0.952504,1,72196.02572
446.797612,444,72200.894172
87.066149,87,72202.264036
0.95276,1,72202.677047
130.22054,130,72204.171127
0.946541,1,72204.581219
152.353574,152,72206.312003
0.934899,1,72206.72347
132.221828,132,72208.225859
0.947486,1,72208.684044
163.427095,163,72210.559094
0.927991,1,72210.989535
122.173182,122,72212.386553
0.9517,1,72212.802647
143.30282,143,72214.455049
0.938869,1,72214.880649
149.313575,149,72216.568222
0.938109,1,72217.009658
124.182192,124,72218.423033
0.951347,1,72218.845769
144.31055,144,72220.515702
0.938818,1,72220.924324
143.30273,143,72222.574629
0.940011,1,72223.023064
115.219092,115,72240.077862
0.945944,1,72240.498062
153.383037,153,72242.294261
0.931209,1,72242.735891
117.167416,117,72244.136045
0.952003,1,72244.549628
164.432665,164,72246.459278
0.926035,1,72246.884261
118.163699,118,72248.278282
0.951848,1,72248.745212
122.179895,122,72250.165218
0.950581,1,72250.585817
137.30136,137,72252.258618
0.938882,1,72252.697964
143.311048,143,72254.38231
0.938129,1,72254.788379
133.251423,133,72256.384196
0.943073,1,72256.833834
127.21825,127,72258.319178
0.947433,1,72258.767529
133.243283,133,72260.309987
0.94447,1,72260.725191
150.345286,150,72262.439334
0.935662,1,72262.850229
128.231362,128,72264.362545
0.945878,1,72264.802633
155.375076,155,72266.584842
0.932979,1,72267.032736
121.177123,121,72268.457848
0.951071,1,72268.942431
115.218003,115,72286.482009
0.946727,1,72286.937689
134.251133,134,72288.506015
0.944287,1,72288.945556
154.380009,154,72290.797505
0.930082,1,72291.263423
120.170592,120,72292.675931
0.950861,1,72293.140026
116.154186,116,72294.522923
0.95236,1,72294.989413
136.279262,136,72296.629217
0.940491,1,72297.102545
120.201259,120,72298.581656
0.953006,1,72299.552642
125.204422,125,72301.086856
0.948124,1,72301.505809
126.208977,126,72302.969227
0.948683,1,72303.386209
117.173776,117,72304.795168
0.951256,1,72305.240483
139.262489,139,72306.772576
0.945655,1,72307.227724
131.23333,131,72308.801384
0.944491,1,72309.232513
151.339832,151,72310.960807
0.935487,1,72311.396565
124.185355,124,72312.820325
0.950119,1,72313.257356
336.885377,335,72333.225284
323.969731,322,72337.337142
0.878095,1,72337.758047
111.137861,111,72339.110853
0.953915,1,72339.532723
448.874941,446,72344.580184
398.613575,396,72349.506343
85.063093,85,72350.888381
0.952684,1,72351.315485
126.199869,126,72352.800808
0.948089,1,72353.224159
144.348015,144,72354.993353
0.933005,1,72355.413985
125.177861,125,72356.835623
0.951194,1,72357.234416
162.424475,162,72359.129953
0.926598,1,72359.557244
103.140991,103,72377.023647
0.952514,1,72377.469841
131.251927,131,72379.033163
0.943951,1,72379.468978
130.241564,130,72381.021971
0.944401,1,72381.437164
140.294572,140,72383.109863
0.938548,1,72383.539651
123.212452,123,72385.036884
0.947229,1,72385.474548
166.442257,166,72387.352455
0.926738,1,72387.768975
118.169641,118,72389.164499
0.952056,1,72389.601717
126.223979,126,72391.179501
0.945441,1,72391.593246
130.222224,130,72393.097404
0.946974,1,72393.529127
142.324809,142,72395.236375
0.936938,1,72395.666045
128.196261,128,72397.117922
0.949588,1,72397.544799
164.436881,164,72399.403226
0.927235,1,72399.840741
115.163628,115,72401.214623
0.952375,1,72401.635026
151.357097,151,72403.379863
0.93425,1,72403.800529
126.194515,126,72405.253547
0.94971,1,72405.677932
157.434274,157,72423.808103
0.921168,1,72424.22175
122.195015,122,72425.664194
0.949679,1,72426.108871
123.163736,123,72427.501336
0.952745,1,72427.975268
131.233571,131,72429.506434
0.94629,1,72429.925063
139.318037,139,72431.610494
0.937385,1,72432.061736
120.182294,120,72433.499671
0.950227,1,72433.948707
159.422863,159,72435.805279
0.927835,1,72436.246594
117.167222,117,72437.633567
0.951668,1,72438.06003
153.375393,153,72439.852648
0.93189,1,72440.299669
121.159241,121,72441.706919
0.95248,1,72442.149639
157.395366,157,72443.984516
0.92968,1,72444.451329
118.163071,118,72445.840949
0.952432,1,72446.312853
120.191864,120,72447.788125
0.948019,1,72448.24331
140.274848,140,72449.8285
0.942514,1,72450.281897
144.320333,144,72451.967269
0.937258,1,72452.387836
115.161625,115,72469.369503
0.946169,1,72469.480048
210.789271,210,72471.887797
0.894632,1,72472.300949
143.330757,143,72473.998646
0.93612,1,72474.517071
144.327942,144,72476.242697
0.935263,1,72476.673229
208.797541,208,72479.090339
0.894654,1,72479.505987
368.196921,366,72483.725595
309.786551,308,72487.645963
308.774457,307,72491.476484
252.274563,251,72494.643901
454.214883,451,72516.616523
114.223364,114,72518.291773
0.938001,1,72518.718584
438.797061,436,72523.657291
477.330642,474,72529.433213
93.086344,93,72530.860814
0.950357,1,72531.282888
112.151965,112,72532.657306
0.952651,1,72533.126583
130.250399,130,72534.673484
0.944363,1,72535.079551
134.258022,134,72536.658881
0.943242,1,72537.106375
140.307525,140,72538.785978
0.938249,1,72539.204196
112.198246,112,72556.829958
0.945813,1,72557.237813
158.402845,158,72559.074733
0.930187,1,72559.533472
122.17872,122,72560.94388
0.951417,1,72561.404912
128.200643,128,72562.871236
0.949332,1,72563.323446
134.262749,134,72564.891682
0.943056,1,72565.314831
143.32811,143,72566.993544
0.937184,1,72567.427061
127.226553,127,72568.932606
0.9461,1,72569.36534
156.385394,156,72571.159333
0.931664,1,72571.60419
116.158164,116,72572.992531
0.952474,1,72573.454783
171.486603,171,72575.430862
0.921233,1,72575.880513
122.188275,122,72577.340814
0.949185,1,72577.782856
116.158474,116,72579.17809
0.952353,1,72579.617914
131.232734,131,72581.134737
0.945771,1,72581.554816
147.333967,147,72583.279351
0.935704,1,72583.706582
113.159916,113,72585.10333
0.951316,1,72585.523648
137.319292,137,72603.466281
0.929426,1,72603.913508
121.162959,121,72605.298106
0.952719,1,72605.74777
161.418969,161,72607.602066
0.928707,1,72608.049254
119.166214,119,72609.434627
0.952104,1,72609.864698
152.363135,152,72611.650862
0.932757,1,72612.109818
119.161893,119,72613.515724
0.952172,1,72613.953228
149.35188,149,72615.672458
0.935146,1,72616.112062
122.19983,122,72617.565284
0.948797,1,72617.996138
151.378531,151,72619.786099
0.931626,1,72620.218725
117.160902,117,72621.607026
0.95268,1,72622.067708
149.378217,149,72623.871045
0.93211,1,72624.307467
117.158645,117,72625.68427
0.95296,1,72626.05573
196.693586,196,72628.857351
0.902457,1,72629.40946
282.357198,281,72632.569351
99.172969,99,72650.357082
0.939227,1,72651.052083
123.185971,123,72652.508191
0.949972,1,72652.934957
142.307141,142,72654.601735
0.93862,1,72655.035137
135.254216,135,72656.587166
0.944054,1,72656.998998
113.042565,113,72658.388832
0.965116,1,72658.833553
166.46919,166,72660.794063
0.923553,1,72661.239756
120.157518,120,72662.60783
0.952785,1,72663.041996
150.3449,150,72664.775385
0.93523,1,72665.176274
129.218231,129,72666.676284
0.946767,1,72667.142467
132.237832,132,72668.70336
0.944683,1,72669.12736
133.250684,133,72670.710292
0.943704,1,72671.150993
145.334474,145,72672.854639
0.936284,1,72673.309247
121.190468,121,72674.758275
0.949912,1,72675.227556
143.298934,143,72676.862568
0.940418,1,72677.333775
124.176242,124,72678.74742
0.950998,1,72679.165878
129.229808,129,72697.305701
0.940792,1,72697.719554
136.26441,136,72699.289453
0.943437,1,72699.711962
151.326827,151,72701.414304
0.937532,1,72701.833307
127.2224,127,72703.338942
0.947039,1,72703.7631
152.364935,152,72705.526303
0.932986,1,72705.969501
120.176311,120,72707.369494
0.951021,1,72707.796481
172.493538,172,72709.762135
0.921947,1,72710.225153
128.210569,128,72711.685199
0.948204,1,72712.108779
118.168701,118,72713.528496
0.952402,1,72713.972625
139.256207,139,72715.548422
0.94448,1,72715.967941
142.300523,142,72717.609484
0.93919,1,72718.026573
138.288659,138,72719.670718
0.940069,1,72720.090168
130.215486,130,72721.592724
0.947338,1,72722.01405
143.299339,143,72723.639474
0.940556,1,72724.066479
148.327282,148,72725.759526
0.936545,1,72726.206364
110.171601,110,72743.526702
0.949795,1,72743.954687
162.404708,162,72745.788981
0.929382,1,72746.23553
120.171696,120,72747.655418
0.950848,1,72748.070951
155.376807,155,72749.872132
0.93221,1,72750.268947
120.166229,120,72751.647924
0.952204,1,72752.051294
171.480328,171,72754.016708
0.922641,1,72754.464931
122.18339,122,72755.906332
0.950087,1,72756.320929
120.167383,120,72757.729476
0.952082,1,72758.145261
137.265791,137,72759.73435
0.942734,1,72760.137511
141.279747,141,72761.73104
0.942077,1,72762.166381
140.287307,140,72763.804305
0.939642,1,72764.236494
135.251435,135,72765.796621
0.944257,1,72766.251476
133.243052,133,72767.788937
0.944664,1,72768.230062
144.321535,144,72769.910333
0.937299,1,72770.340712
127.216201,127,72771.833563
0.947274,1,72772.249271
136.321809,136,72789.0864
0.934831,1,72789.569703
116.159829,116,72790.964027
0.952705,1,72791.382994
154.411287,154,72793.272743
0.927713,1,72793.711078
117.160948,117,72795.121893
0.951847,1,72795.572219
128.207862,128,72797.045347
0.948359,1,72797.456614
134.280733,134,72799.092853
0.940766,1,72799.49809
148.324439,148,72801.200917
0.936661,1,72801.628886
140.270437,140,72803.229922
0.942265,1,72803.644195
133.240906,133,72805.179163
0.94533,1,72805.595179
148.28499,148,72807.313519
0.941129,1,72807.742654
123.191523,123,72809.170913
0.950123,1,72809.584307
137.277404,137,72811.192719
0.942181,1,72811.628321
