# {"t_start": 1583034220.150134, "env_id": "Hopper-v2"} 
r,l,t
210.30322,92,1209.597494
218.338141,94,1210.055395
215.029043,94,1210.548872
220.677703,97,1210.966326
212.317349,93,1211.414578
214.681288,94,1211.844105
211.023961,93,1212.272127
212.177613,93,1212.680873
223.868303,96,1213.106349
211.703849,93,1213.579961
213.093953,93,1213.995843
214.948428,93,1214.424756
224.252236,96,1214.955814
204.715625,89,1215.448674
217.496655,95,1215.992639
217.305263,94,1216.534622
217.408535,94,1217.112579
219.945516,96,1217.674795
215.237779,93,1218.187179
218.039666,95,1218.677714
209.62192,92,1219.19761
217.172876,94,1254.90362
215.421351,94,1255.833062
223.504308,97,1256.725529
220.214456,95,1257.640568
211.853695,92,1258.476393
224.439852,98,1259.411484
224.457452,99,1260.445741
216.6393,94,1261.519892
211.223446,93,1262.445413
221.585925,96,1263.351145
211.963221,94,1264.307561
215.808853,94,1265.399119
217.611154,94,1266.372542
213.092576,94,1267.303086
212.654683,92,1268.120622
215.408448,94,1268.891062
216.92894,94,1269.777567
215.212495,94,1270.749569
215.631791,94,1271.700517
212.207486,92,1272.585819
219.390505,95,1273.601411
211.444787,91,1338.95983
230.133645,97,1340.211588
226.754131,99,1341.617862
220.095529,95,1342.938842
222.884484,97,1344.274387
220.115766,96,1345.616013
221.215148,96,1346.950578
222.415844,100,1348.302204
219.851805,95,1349.454054
216.081366,94,1350.588094
224.415742,97,1351.788449
220.924767,95,1352.875524
223.399534,97,1353.952574
218.529422,95,1354.991634
222.385616,97,1356.10458
223.629918,98,1357.210105
221.163458,96,1358.156651
206.38801,90,1359.018613
222.059835,96,1360.087865
218.718037,95,1361.096771
226.342192,99,1362.088618
218.677886,96,1363.045444
227.933675,98,1426.675919
228.891959,98,1427.73661
227.84507,100,1428.808177
216.846786,94,1429.78154
220.561798,95,1430.759373
230.171629,98,1431.853486
224.902306,98,1432.973775
221.973525,98,1434.051379
225.601233,100,1435.16305
224.838288,96,1436.13962
227.777399,98,1437.234732
219.837515,95,1438.278454
218.893815,98,1439.434444
225.649903,100,1440.613475
218.419347,95,1441.601686
227.555156,99,1442.649923
218.707601,95,1443.623917
221.128788,100,1444.635244
222.387647,99,1445.687821
226.538599,98,1446.759253
222.723639,97,1447.788406
227.56188,99,1514.740025
219.370545,97,1516.135275
218.335579,94,1517.430444
230.283093,99,1518.879068
226.116999,100,1520.21858
225.857254,98,1521.505202
222.593116,97,1522.707182
227.278581,98,1523.877748
223.272659,96,1525.103555
226.730088,100,1526.32929
221.231101,96,1527.610404
219.266966,95,1528.938908
220.840522,96,1530.342291
203.255498,99,1531.701237
218.353165,94,1532.91752
225.58737,100,1534.249122
229.217767,100,1535.604934
221.380478,95,1536.844979
226.81153,98,1538.011065
226.409844,98,1539.286004
221.232293,96,1540.566075
227.115911,99,1609.48442
228.15945,99,1610.578282
225.95707,98,1611.656953
226.192057,99,1612.722564
220.948596,96,1613.724849
229.301307,98,1614.755972
224.394667,98,1615.771506
225.687345,98,1616.736909
224.129192,99,1617.779785
221.578724,96,1618.815629
221.166201,96,1619.868775
221.623998,96,1620.952031
223.928677,98,1622.006433
223.518305,97,1623.124424
223.896598,96,1624.1446
224.764982,98,1625.2155
230.36515,100,1626.424654
222.999882,96,1627.562971
222.506722,96,1628.557415
225.895009,98,1629.734725
222.196542,97,1630.748537
224.738066,97,1692.829358
226.270799,97,1693.93979
224.537445,97,1695.004665
226.433499,100,1696.035594
225.279986,98,1697.063864
227.161006,98,1698.133016
221.3446,95,1699.08517
229.043971,98,1700.087745
226.693106,99,1701.076521
220.226367,95,1702.104631
226.961037,99,1703.177994
226.54686,98,1704.280347
228.403262,98,1705.358152
225.55065,97,1706.535353
222.222393,96,1707.620727
228.344397,99,1708.677722
221.464536,95,1709.70332
224.565406,97,1710.770687
223.240268,97,1711.875637
225.574287,97,1712.904402
225.024264,97,1713.899766
226.85446,98,1786.794177
221.327018,97,1788.01621
223.69775,96,1789.260777
223.092803,97,1790.586947
225.459304,97,1791.778242
228.275149,98,1793.038376
225.51025,98,1794.28121
224.260148,97,1795.573692
224.082467,98,1796.923394
220.970386,96,1798.232806
220.100376,95,1799.55403
225.952714,98,1800.879589
223.410855,96,1802.135956
226.380758,100,1803.501
221.672622,96,1804.782295
223.721537,97,1806.100611
225.774468,97,1807.328372
222.010792,96,1808.381417
226.145918,97,1809.367774
223.619092,97,1810.39396
225.102292,98,1811.455552
226.268721,98,1876.187407
227.715161,99,1877.179639
226.479219,99,1878.290309
227.830944,98,1879.338367
227.569766,99,1880.400959
222.132172,97,1881.412789
227.477245,99,1882.525251
230.727961,101,1883.537384
227.226949,98,1884.537483
231.912241,99,1885.501637
225.098842,98,1886.480089
237.805263,103,1887.606714
224.441002,98,1888.593499
212.930047,93,1889.572168
225.917932,97,1890.559459
222.143661,96,1891.483299
228.53935,100,1892.552319
224.857072,98,1893.627137
225.941679,98,1894.671573
224.911699,97,1895.740622
229.287,100,1896.779076
230.900253,100,1960.561385
221.506193,96,1961.651588
222.765849,96,1962.683396
220.821853,95,1963.616061
226.554671,98,1964.599275
227.306577,99,1965.770341
227.309351,98,1967.094994
230.459929,100,1968.438662
227.738924,100,1969.751863
223.592834,97,1971.103812
227.776735,100,1972.41302
225.637694,98,1973.785757
225.88081,99,1975.103421
230.139934,99,1976.420331
226.478345,99,1977.542511
226.847407,99,1978.763264
230.703231,100,1980.097806
225.097079,98,1981.399021
229.084706,99,1982.588019
233.548321,100,1983.867102
227.379203,98,2056.214622
226.972929,99,2057.209249
224.911864,96,2058.257937
226.300887,97,2059.278534
228.928871,99,2060.38133
227.584953,99,2061.461616
220.898805,95,2062.485898
226.949293,98,2063.649965
226.867838,98,2064.643954
226.92674,98,2065.654173
230.466071,99,2066.694767
226.143096,97,2067.802898
228.984401,99,2068.936409
228.945461,99,2069.993256
225.674405,98,2071.047797
224.081554,97,2072.263964
224.646347,97,2073.386718
224.004287,97,2074.42195
225.428792,98,2075.469034
224.798453,97,2076.518322
224.184309,97,2077.67276
230.07769,100,2142.223279
226.626915,99,2143.277181
229.117848,100,2144.22523
225.735557,98,2145.244373
228.19379,101,2146.241389
225.50077,98,2147.230529
225.671311,98,2148.221367
228.987323,99,2149.075568
224.054096,96,2150.013308
222.524765,97,2150.940026
228.987154,99,2151.99344
229.407546,100,2153.030437
228.407795,100,2154.090472
226.195343,98,2155.117039
225.309744,98,2156.165186
233.167192,100,2157.272156
227.531328,100,2158.360282
228.46033,100,2159.413007
229.60399,99,2160.667169
232.344999,100,2161.910332
226.913831,99,2163.244673
226.923482,97,2235.984828
226.951605,98,2237.46965
225.70276,98,2238.807842
227.366479,98,2240.198189
229.393986,100,2241.490602
228.489581,98,2242.798853
235.749141,100,2244.092068
233.123867,99,2245.46179
230.837491,100,2246.83894
239.903595,101,2248.228542
226.773258,99,2249.63006
230.438068,100,2251.06186
224.969777,98,2252.44856
225.315888,98,2253.667508
228.866948,99,2255.035188
241.76193,102,2256.466389
226.397081,98,2257.726835
226.976964,99,2259.099567
226.322599,98,2260.526568
235.267324,102,2261.919971
231.179137,99,2263.375102
231.420545,99,2326.910801
246.984864,104,2328.100296
230.529754,99,2329.199824
229.936077,98,2330.194701
230.327259,100,2331.332492
230.978489,99,2332.491827
227.033145,98,2333.546833
228.933124,99,2334.634423
228.497019,98,2335.734108
223.732858,97,2336.732513
238.244482,101,2337.804182
231.818398,100,2338.856468
228.443439,99,2339.906391
231.896022,100,2340.992457
219.90793,96,2341.979806
229.445089,99,2343.070675
229.138208,100,2344.080051
224.704013,97,2345.117051
229.460815,101,2346.256151
224.4991,97,2347.390668
224.67439,97,2410.502357
246.063005,103,2411.723681
231.593033,101,2412.766118
228.802118,99,2413.81264
244.335612,103,2414.937421
227.284764,98,2416.014151
237.658644,101,2417.118896
232.618067,100,2418.159742
236.032554,101,2419.532972
233.563676,101,2420.800456
232.441532,99,2422.109062
233.653174,101,2423.460257
237.378556,101,2424.849564
242.245181,103,2426.251615
236.322336,101,2427.614897
230.291279,99,2428.991579
229.09184,99,2430.441639
225.980551,97,2431.755211
227.495733,97,2433.020586
237.494108,100,2434.362262
232.968679,99,2435.813091
235.208914,99,2511.6115
261.581794,107,2512.628821
227.842625,99,2513.663244
240.417153,101,2514.661928
232.564896,100,2515.640141
257.882791,105,2516.69223
228.690165,98,2517.678531
238.382501,100,2518.724877
244.000459,102,2519.741104
251.290574,104,2520.869858
243.963775,102,2522.06382
231.45808,100,2523.109765
251.045196,103,2524.208416
232.624701,99,2525.217077
231.992404,100,2526.236149
237.80987,101,2527.26728
227.155766,98,2528.20449
233.405025,100,2529.167096
237.654258,101,2530.160108
246.67496,103,2531.16342
239.270466,101,2594.480444
256.410797,106,2595.57354
260.077145,106,2596.671672
246.642388,103,2597.62691
245.00101,102,2598.781618
245.687648,102,2599.923003
234.083249,99,2601.027449
242.367289,102,2602.158018
247.732691,104,2603.285563
234.180578,99,2604.309849
258.519891,106,2605.33273
260.891059,107,2606.43038
236.961153,101,2607.481667
241.498891,101,2608.580118
245.355356,104,2609.758096
243.921662,102,2610.928734
235.970497,99,2611.911062
242.384827,103,2613.025112
249.424068,104,2614.088334
244.698734,102,2615.125603
269.87333,109,2682.048779
245.824996,101,2683.512587
240.364352,101,2684.852394
247.711874,103,2686.217848
262.063583,107,2687.634646
244.082636,101,2689.019897
260.15618,106,2690.45713
254.552779,105,2691.927732
243.468412,102,2693.398632
239.764433,103,2694.917083
242.061807,103,2696.337604
233.552452,98,2697.692531
265.108902,107,2699.273815
245.989017,102,2700.663962
269.007875,108,2702.069356
246.560232,103,2703.491511
247.447516,103,2704.975752
242.798873,101,2706.323627
248.28977,104,2707.664266
251.315876,105,2709.088768
273.461481,110,2773.808692
283.862709,112,2774.885602
266.285793,107,2775.993821
255.704234,106,2777.016494
284.262066,112,2778.200444
262.417723,106,2779.268998
281.302586,112,2780.434268
256.56379,106,2781.438021
242.689942,100,2782.4423
253.294802,105,2783.562012
256.986622,106,2784.632778
281.226439,111,2785.692226
280.65099,111,2786.707169
251.730913,104,2787.802389
285.199031,113,2789.024138
267.157574,108,2790.189472
252.878225,104,2791.308697
250.564292,106,2792.445975
256.644641,106,2793.494805
270.361943,110,2856.686772
230.862524,97,2857.79474
277.444535,110,2858.962115
281.342985,111,2860.104961
284.239206,112,2861.354543
218.928322,93,2862.266383
208.001051,91,2863.198551
260.73312,106,2864.38318
221.655035,94,2865.680851
280.039334,112,2867.164725
262.841117,107,2868.694652
220.541416,94,2869.873735
252.040372,103,2871.219052
284.381781,111,2872.645369
276.053357,111,2874.047578
269.578974,107,2875.501585
288.795775,114,2877.012072
291.55123,113,2878.5486
275.909528,111,2879.963748
279.218163,111,2952.816713
304.406524,117,2954.049053
258.949257,104,2955.08757
278.482991,111,2956.313257
281.577854,111,2957.527119
284.894116,114,2958.803736
275.303852,109,2960.040156
294.906209,114,2961.180457
236.458326,99,2962.19792
268.790358,107,2963.303214
287.991044,113,2964.590414
295.731284,115,2965.805111
267.39047,107,2966.873946
269.298788,110,2967.994057
274.951763,110,2969.028872
272.312301,109,2970.065884
257.55808,105,2971.185739
282.235328,114,2972.378436
260.202402,107,2973.426356
304.453937,118,3035.633967
293.919401,115,3036.881124
292.210973,115,3038.145466
294.849842,115,3039.440825
298.137037,116,3040.676633
284.937227,112,3041.833852
314.899836,121,3043.215245
279.587191,110,3044.483635
279.243445,112,3045.785786
304.576551,116,3047.030662
235.440699,98,3048.173933
266.667935,107,3049.487271
268.140647,107,3050.703269
270.864207,110,3051.806005
262.944236,108,3052.901786
280.190858,112,3054.097574
271.005356,110,3055.192836
289.214018,113,3056.478808
299.044789,117,3121.533132
281.27492,112,3122.834461
265.617863,107,3123.984019
294.03611,114,3125.233117
282.030215,113,3126.498684
276.465934,109,3127.841379
276.915315,110,3129.28172
290.088917,113,3130.728004
314.149614,120,3132.320114
285.14899,111,3133.785474
299.882418,117,3135.459991
314.530083,121,3137.076659
291.087218,113,3138.633747
279.324485,110,3140.076822
292.530479,113,3141.662723
280.573194,110,3143.212383
