# {"env_id": "Hopper-v2", "t_start": 1582971912.1432471} 
r,l,t
6.34561,10,524.602614
8.346836,11,524.737579
6.790219,10,524.868232
4.749509,8,524.968934
6.689326,22,525.22415
10.152511,16,525.416673
7.129049,13,525.55737
6.280302,9,525.666898
5.035844,8,525.752447
4.507068,10,525.862881
6.362923,8,525.959391
7.235866,13,526.104112
9.240918,12,526.234522
14.547894,18,526.468828
6.519392,10,526.575177
5.482157,11,526.701439
6.056846,8,526.800159
5.731825,9,526.898619
8.075432,14,527.064647
4.926004,14,527.23297
7.596981,13,527.391208
12.685363,14,527.561458
5.925754,10,527.684767
7.355305,9,527.786719
4.864694,17,527.989446
11.090494,14,528.161763
8.518212,12,528.302548
6.056784,9,528.393539
2.361087,10,528.499343
10.251644,13,528.66045
8.443562,11,528.786405
8.643408,11,528.914703
3.856153,8,529.004139
8.326285,10,529.114291
7.215417,11,529.248435
9.742616,12,529.391853
4.375502,9,529.504642
4.429054,9,529.604188
9.257102,13,529.752741
8.487087,12,529.892608
5.841875,8,530.00881
3.778329,8,530.115865
6.278844,13,530.278404
7.083829,9,530.401629
5.778959,8,530.519663
5.336451,7,530.613224
8.281137,12,530.759351
5.351518,7,530.839329
6.500799,11,530.975516
3.527124,13,531.13752
4.022451,11,531.260175
12.419813,15,531.433182
4.557017,9,531.522662
9.089989,13,531.676988
4.411487,10,531.805668
5.126631,12,531.952992
15.562927,19,532.195856
5.557503,9,532.313359
5.587072,9,532.429239
8.164343,12,532.584441
12.451899,15,532.778838
3.678607,17,533.003191
8.629525,10,533.111943
4.676984,10,700.167518
11.995289,14,700.287651
5.298839,10,700.372334
7.511569,10,700.456047
7.46769,12,700.557778
4.290296,10,700.643126
10.197242,14,700.761237
5.083458,8,700.829978
6.344967,8,700.897655
5.926468,10,700.985174
4.885071,9,701.063035
7.01996,10,701.14887
6.716406,14,701.26823
5.023443,7,701.327345
4.840498,7,701.387297
7.308445,10,701.472361
4.590144,8,701.539217
5.974465,10,701.625132
6.872674,9,701.701812
5.230714,7,701.761361
6.066666,11,701.85526
8.18156,10,701.938486
10.075802,12,702.039214
6.761963,18,702.191845
4.278644,7,702.250531
4.160369,8,702.318758
4.614241,8,702.386576
5.012269,9,702.463391
5.61576,7,702.522542
6.439344,15,702.649012
6.111074,8,702.7196
10.124794,13,702.828102
4.532575,7,702.887967
6.36836,10,702.971727
7.357673,9,703.047043
7.132712,11,703.139745
4.495963,9,703.214139
6.927454,9,703.28912
4.644724,9,703.364731
3.779976,9,703.440032
4.147551,9,703.519996
8.142,10,703.605852
3.482295,8,703.672981
3.994261,10,703.755954
7.383367,12,703.856223
6.33028,8,703.922467
5.526955,12,704.023209
5.144121,8,704.092162
5.432388,8,704.159061
7.309531,9,704.234516
5.596691,13,704.344847
7.487299,9,704.421888
5.939797,9,704.497139
7.914077,13,704.60699
6.296009,8,704.673256
8.31997,10,704.757782
9.180854,11,704.849317
7.159979,9,704.92467
6.170963,9,704.999728
8.987435,15,705.127065
6.484243,10,705.215541
2.81213,7,705.275608
3.259751,9,705.351678
6.258906,8,705.419383
5.574274,11,705.511564
6.531114,8,705.578966
9.388072,16,705.711835
6.166371,8,705.778954
5.876485,8,705.848077
3.714233,9,705.924433
5.169024,8,705.992642
10.055862,16,706.133584
5.630344,10,706.219213
6.377783,11,706.312773
4.406025,8,706.380008
7.356623,12,706.48118
5.577024,8,706.54883
9.020301,11,706.641682
4.879159,9,706.71831
8.879421,11,706.811371
4.784651,8,706.879641
4.255651,8,706.950513
5.994763,8,707.01872
6.993439,11,707.113124
3.911414,7,707.172807
8.394199,10,707.257656
5.203518,8,707.326508
7.743579,11,707.420485
3.837335,6,707.471792
4.902765,7,707.531003
11.869312,16,707.664558
5.531418,11,707.759459
4.259298,7,707.821406
6.264125,9,707.897039
6.629719,14,708.017094
3.135014,11,708.111764
4.255862,8,708.181439
6.289722,13,708.291183
4.63645,8,708.359044
7.852634,10,708.443871
6.883136,10,708.527273
4.728124,8,708.596473
7.202571,10,708.685161
3.742075,10,708.770178
5.367938,7,708.829804
8.180102,14,708.94759
2.994778,11,709.040653
9.382969,11,709.137616
5.648323,10,709.223257
5.364855,12,709.324511
4.288384,9,709.401432
8.351979,10,709.509198
5.042715,7,709.57033
3.861133,8,709.639309
6.33307,10,709.724299
5.443674,10,709.810687
5.745174,8,709.877734
5.536932,9,709.952996
3.547315,21,710.128812
4.226689,7,710.186656
6.068078,9,710.262327
5.990519,9,710.341561
4.733337,7,710.400949
5.73987,11,710.492455
7.491871,9,710.566933
10.564436,15,710.692868
11.057914,15,710.817766
8.313216,10,710.901422
7.110862,10,710.984193
4.640774,9,711.059966
3.534708,14,711.181721
7.118062,14,711.299257
4.746319,10,711.383125
64.769682,45,711.758869
11.575141,15,711.882801
3.189303,8,711.949782
10.258084,12,712.055314
8.780368,12,712.157817
7.075157,11,712.24972
3.24167,10,712.33353
7.641887,9,712.409266
5.227228,7,712.468569
3.430545,6,712.518791
5.121311,7,712.577264
4.466442,8,712.643902
6.038292,10,712.727805
5.056515,8,712.794964
8.212219,16,712.949282
7.5703,11,713.042915
3.795912,7,713.102205
7.417208,10,713.1957
9.738523,19,713.35727
8.22894,10,713.442688
6.923096,11,713.53592
6.106919,8,713.604549
4.843001,10,713.689688
4.047007,11,713.787122
8.902919,10,713.872156
4.624013,11,713.965021
5.28984,8,714.032455
6.989889,10,714.118129
6.384972,13,714.230361
5.041633,8,714.298155
4.087462,10,714.382923
7.552543,10,714.467723
5.556586,10,714.555782
7.643604,10,714.646527
5.243313,10,714.731855
11.870431,15,714.859678
5.498685,11,714.953182
5.06852,9,715.032332
8.147373,10,715.117434
6.816951,12,715.219406
5.078709,8,715.287956
5.659808,8,715.355292
6.497305,10,715.444978
8.424652,10,715.53498
7.676909,10,715.619498
6.476652,11,715.71293
5.377964,8,715.781731
5.930245,8,715.850174
4.368408,10,715.934133
8.699445,11,716.031383
11.052453,14,716.151555
9.295358,11,716.24438
5.247075,11,716.343465
6.262054,9,716.421114
3.636199,8,716.489792
7.373633,10,716.575024
3.534064,9,716.650951
5.007495,10,716.735636
8.105847,11,716.828846
6.752695,10,716.912946
5.348982,8,716.984329
8.15298,10,717.07076
7.074961,10,717.157655
